,Basic Economy,Main Cabin,Main Plus,Premium Economy,Business,First
U.S.,200,200,200,200,200,200
Puerto Rico,200,200,200,200,200,200
Canada,200,200,200,200,200,200
Mexico,200,200,200,200,200,200
Haiti,200,200,200,200,200,200
Panama,200,200,200,200,200,200
Colombia,200,200,200,200,200,200
Ecuador,200,200,200,200,200,200
Peru,200,200,200,200,200,200
South America,200,200,200,200,200,200
Israel,200,200,200,200,200,200
Qatar,200,200,200,200,200,200
Europe,200,200,200,200,200,200
India,200,200,200,200,200,200
China,200,200,200,200,200,200
Japan,200,200,200,200,200,200
South Korea,200,200,200,200,200,200
Hong Kong,200,200,200,200,200,200
Australia,200,200,200,200,200,200
New Zealand,200,200,200,200,200,200
